Survived,Sex,Age,Fare
0,male,34.5,7.8292
1,female,47.0,7.0
0,male,62.0,9.6875
0,male,27.0,8.6625
1,female,22.0,12.2875
0,male,14.0,9.225
1,female,30.0,7.6292
0,male,26.0,29.0
1,female,18.0,7.2292
0,male,21.0,24.15
0,male,27.0,7.8958
0,male,46.0,26.0
1,female,23.0,82.2667
0,male,63.0,26.0
1,female,47.0,61.175
1,female,24.0,27.7208
0,male,35.0,12.35
0,male,21.0,7.225
1,female,27.0,7.925
1,female,45.0,7.225
0,male,55.0,59.4
0,male,9.0,3.1708
1,female,27.0,31.6833
0,male,21.0,61.3792
1,female,48.0,262.375
0,male,50.0,14.5
1,female,22.0,61.9792
0,male,22.5,7.225
0,male,41.0,30.5
0,male,27.0,21.6792
0,male,50.0,26.0
0,male,24.0,31.5
1,female,33.0,20.575
1,female,27.0,23.45
0,male,30.0,57.75
0,male,18.5,7.2292
1,female,27.0,8.05
1,female,21.0,8.6625
0,male,25.0,9.5
0,male,27.0,56.4958
0,male,39.0,13.4167
0,male,27.0,26.55
0,male,41.0,7.85
1,female,30.0,13.0
1,female,45.0,52.5542
0,male,25.0,7.925
0,male,45.0,29.7
0,male,27.0,7.75
1,female,60.0,76.2917
1,female,36.0,15.9
0,male,24.0,60.0
0,male,27.0,15.0333
1,female,20.0,23.0
1,female,28.0,263.0
0,male,27.0,15.5792
0,male,10.0,29.125
0,male,35.0,7.8958
0,male,25.0,7.65
0,male,27.0,16.1
1,female,36.0,262.375
0,male,17.0,7.8958
0,male,32.0,13.5
0,male,18.0,7.75
1,female,22.0,7.725
0,male,13.0,262.375
1,female,27.0,21.0
1,female,18.0,7.8792
0,male,47.0,42.4
0,male,31.0,28.5375
1,female,60.0,263.0
1,female,24.0,7.75
0,male,21.0,7.8958
1,female,29.0,7.925
0,male,28.5,27.7208
1,female,35.0,211.5
0,male,32.5,211.5
0,male,27.0,8.05
1,female,55.0,25.7
0,male,30.0,13.0
1,female,24.0,7.75
0,male,6.0,15.2458
0,male,67.0,221.7792
0,male,49.0,26.0
0,male,27.0,7.8958
0,male,27.0,10.7083
